2015-01-16 21:22:50 INFO : (int main(int, char**) 123) - Overwriting config variable parallel.maxthreads with 4
2015-01-16 21:22:50 INFO : (int main(int, char**) 125) - 4
2015-01-16 21:22:50 INFO : (int main(int, char**) 123) - Overwriting config variable parallel.transform.threads with 4
2015-01-16 21:22:50 INFO : (int main(int, char**) 125) - 4
2015-01-16 21:22:50 INFO : (void io::formatted_input<format>::from_file(int) [with format = io::formats::two_d::netcdf] 108) - Inputting from file input/input_07.cdf...
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable x not found in file
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable z not found in file
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable u not found in file
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable w not found in file
2015-01-16 21:22:50 WARN : (static void io::formats::two_d::netcdf::read(const io::data_grid&, std::string, std::string, void*, int, int) [with datatype = double; std::string = std::basic_string<char>] 120) - Variable P not found in file
2015-01-16 21:22:50 INFO : (int main(int, char**) 150) - element.version < 0.6.0.0
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 0
2015-01-16 21:22:50 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_t_07.cdf...
2015-01-16 21:22:50 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_07.cdf...
2015-01-16 21:22:50 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::ascii] 158) - Outputting to file output/sc_gwave_07.dat...
2015-01-16 21:22:50 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file input/dump_07.cdf...
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 1e-05
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 1
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 1e-05
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 2
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 2e-05
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 1.5e-05
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 3
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 3.5e-05
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 4
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 5e-05
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 2.25e-05
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 5
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 7.25e-05
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 6
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 9.5e-05
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 3.375e-05
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 7
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.00012875
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 8
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.0001625
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 5.0625e-05
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 9
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.000213125
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 10
2015-01-16 21:22:50 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_t_07.cdf...
2015-01-16 21:22:50 INFO : (void io::formatted_output<format>::to_file(int) [with format = io::formats::two_d::netcdf] 158) - Outputting to file output/sc_gwave_07.cdf...
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.00026375
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 149) - Updating timestep: 7.59375e-05
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 60) - Timestep: 11
2015-01-16 21:22:50 INFO : (void pisces::element<datatype>::run(int&, int, int) [with datatype = double] 144) - TOTAL TIME: 0.000339688
